date,text,username,tweet_to,times_retweeted,times_favorited,mentions,hashtags,bot_rating,likely_bot
2020-01-13 19:26:01+00:00,Isn’t it the same when looking at the California fires? They also seem to align with the newly proposed high speed rail system. coincidence?,DickDumfaq,BeachMilk,0,0,_,_,0.0024124820419756,False
2020-01-12 23:21:58+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 https://www.youtube.com/watch?v=a2grDvifl4w&amp;feature=youtu.be,FEDDUPP2,_,2,1,_,_,0.0189044167586513,False
2020-01-12 19:47:24+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,mediumhenny,_,3,1,@YouTube,_,0.0068261748847738,False
2020-01-12 03:14:02+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,ivatalackohhc,_,0,1,_,_,0.5114515477139734,True
2020-01-12 00:17:14+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,bpmonty,_,1,0,_,_,0.2285121735230208,False
2020-01-11 22:09:34+00:00,Australian news reports all over about the arrests (over 180) of the Muslims starting the fires. Research agenda 21 & agenda 3030. They want a high speed rail system and that’s where they burned the wilderness. It’s not a conspiracy. It’s happened with the California fires too.,Sword_O_Truth,RsnOvrReligion,0,0,_,_,0.0099223000945679,False
2020-01-11 16:05:30+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,AyersBob,_,0,0,@YouTube,_,0.0022344951904619,False
2020-01-11 12:56:48+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,dibaby727,_,0,0,@YouTube,_,0.0165667522459698,False
2020-01-10 21:56:47+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,ThehulaG,_,0,1,@YouTube,_,0.0060434470460022,False
2020-01-10 20:12:52+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,Linkreaction,_,0,1,_,_,0.1599091325219053,False
2020-01-10 20:05:00+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,linkacrosby,_,0,0,@YouTube,_,0.0042683062228309,False
2020-01-10 15:10:13+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w #wwlll #endtimes #bible #endtimesprophecy,DRandall,_,0,1,_,#wwlll #endtimes #bible #endtimesprophecy,0.0859040924365372,False
2020-01-10 15:09:43+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,WoodardHortense,_,0,0,@YouTube,_,0.1104637682719471,False
2020-01-10 15:09:42+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,WoodardHortense,_,0,0,@YouTube,_,0.1104637682719471,False
2020-01-10 12:58:00+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,Trumpster5280,_,1,0,@YouTube,_,0.1599091325219053,False
2020-01-10 08:46:25+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,ozlovecoach,_,0,0,_,_,0.2564674002687074,False
2020-01-10 06:41:44+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,NobleRamziElBey,_,1,1,_,_,0.5114515477139734,True
2020-01-10 05:25:59+00:00,Watch “Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020” http://youtube.com/watch?v=a2grDvifl4w&amp;feature=youtu.be,wadejohns33,_,0,0,_,_,0.0022344951904619,False
2020-01-10 04:12:45+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,jkiddrock,_,4,3,@YouTube,_,0.0022344951904619,False
2020-01-10 04:11:43+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,JenniferJ4a958,_,0,1,@YouTube,_,0.0087506940092443,False
2020-01-08 02:15:29+00:00,Australia & California fires - both have plans for High Speed Rail Line = Deforrestation. Imagine that.,MichaelPreamble,_,0,0,_,_,0.0024124820419756,False
2020-01-07 18:47:38+00:00,"Some say it's to do with clear g way for high speed rail, same theory floating regarding California fires. Either way heat melting cars not natural and may have technical help #dewweapons #dew",kittysf,DonaldJTrumpJr,1,1,_,#dewweapons #dew,0.0014828129117616,False
2020-01-07 10:31:06+00:00,"Just saw an interesting link to the California fires match the high speed proposed rail in CA, article in news last year that same high speed rail proposed Bne to Mel in line with where fires lit",nicolab21215976,GeoffsNZViews,0,0,_,_,0.0038317559975942,False
2020-01-07 07:27:12+00:00,"Blame weather manipulation, chemtrails, water harvesting, high speed rail coming? what about the similarities to the California fires? UN Agenda 21/2030, Soros and what else was done what else was used? Climate scam=UN deliberate destruction of Australia.",MonicaB14750640,HillaryClinton,1,2,_,_,0.0247020392430994,False
2020-01-06 17:35:04+00:00,"What caused the fire to burn so hot that houses burn to dust? Why are trees not burning? Ask the firefighters how normal these fires are. This is not climate change. High speed rail line Rezoning for smart cities Look at California fires, same kind of Fire.",Hoffman11My,7NewsSydney,2,7,_,_,0.0020801266669107,False
2020-01-06 17:33:52+00:00,What burns a house to dust? Look at the California fires. This is not climate change. High speed rail line? Rezoning for smart cities?,Hoffman11My,WDP_HeathGeorge,1,2,_,_,0.0020801266669107,False
2020-01-06 11:23:36+00:00,California Fires Revelation! Fires Line Up Exactly in the Path as CA High Speed Rail System (Video) ,thebeachesNZ,_,1,3,_,_,0.0060434470460022,False
2020-01-06 10:46:21+00:00,The California fires seem to have happened on the route of the proposed high speed rail line. ,NedJohnson01,_,7,8,_,_,0.0018284205282117,False
2020-01-03 14:38:33+00:00,What do these fires and California fires have in common ? High speed rail for NWO plans......thank China do this.,eugene9corcoran,CoryBMorgan,0,0,_,_,0.0019457839054003,False
2020-01-02 22:36:09+00:00,It's possible the fires in Australia have been set to prepare for a Smart Cities project just as the California fires were set to provide land for high speed rail and/or Silicon Valley North. See: Australian Bushfires: A Smart City Conspiracy? https://tottnews.com/2019/12/05/australian-bushfires-conspiracy/,KarenWinters3,Zander9899,0,1,_,_,0.0017254576509718,False
2020-01-02 15:45:53+00:00,"Similarity to California fires? Coincidence that it's on the projected Sydney Melbourne high speed rail line? Burn the homes then condemn the land. Don't have to pay owners. Destroy natural habitats and animals, don't have to worry about",ShipleyClara,_,18,24,_,_,0.0321832202696962,False
2020-01-02 15:44:53+00:00,"Similarity to California fires? Coincidence that it's on the projected Sydney Melbourne high speed rail line? Burn the homes then condemn the land. Don't have to pay owners. Destroy natural habitats and animals, don't have to worry about environmentalist",Hoffman11My,paulmuaddib61,1,2,_,_,0.0020801266669107,False
2020-01-02 12:06:13+00:00,Just like the California fires coincidently paved the way for high speed rail lines ...,robbio12,WinkleyBilly,0,1,_,_,0.0014187924969112,False
2020-01-02 07:07:33+00:00,really trying to blame climate change? so how do you explain climate change causing fires in the same area they want to build a high speed rail network the same happens in California fires start in the path of there high speed rail network,puddra_,SkyNews,0,0,_,_,0.0112593465706467,False
2019-12-23 08:33:15+00:00,"We heard that, wow, such coincidence, California fires line up with high speed rail plans. Now, hmm, Australia fires seem to line up with high speed rail plans too. ",larryneelis,_Wardy_,3,3,_,_,0.0022344951904619,False
2019-12-07 16:55:41+00:00,"@realDonaldTrump think it's time she is investigated. Little odd as well that the California fires were also the same areas that her husband ""won"" a contract for a high speed rail system. ",benny1019smallz,_,0,0,@realDonaldTrump,_,0.0165667522459698,False
2019-12-02 23:40:43+00:00,Ever seen the California fires map compared to the proposed high-speed rail map?,DeadlyBuffoon,queenozymandias,0,0,_,_,0.0028569400946129,False
2019-11-03 19:52:44+00:00,"Interesting tid bit about the California Fires... look at the projected path of the ""high speed rail"" &amp; where all the fires occurred, it's awfully similar. The state knows the residents would never move so why not burn them out? ",MargieC92629,_,4,15,_,_,0.0018284205282117,False
2019-10-09 15:40:37+00:00,Well the last California fires were started by your leaders to get Federal FEMA $$money to shore up the bankrupt budget. Ca. does not have a surplus like they keep lying about the state is out of money and billions in the hole. Why Newsom wanted keep high speed rail going. ,Tlmac1952L,TamikaGHamilton,0,0,_,_,0.0020801266669107,False
2019-07-09 01:40:32+00:00,"MUST SEE !!! America 2050, High-Speed Rail System, California Fires, Eminent Domain &amp; Funding https://youtu.be/9BHPb8chlWs",marwird,_,0,0,_,_,0.0859040924365372,False
2019-05-18 14:25:20+00:00,@realDonaldTrump @bbusa617 Hummmm this “flood” better not turn out to have been “deliberate” by the “Climate pushers” After watching the California fires conveniently burn along the same land purposed for the”high speed rail”it wouldn’t surprised me ,Luke4Tech,bcbluecon,11,17,@realDonaldTrump @bbusa617,_,0.0127884311772461,False
2019-05-01 00:49:58+00:00,"And the other california fires as well. #CaliforniaFires Get ready for this summer folks, California doesn't get to keep the high speed rail money, they will need more federal emergency desaster relief like last year. #California #Trump2020 #Qanon",Ambellina77,paulmuaddib61,0,1,_,#CaliforniaFires #California #Trump2020 #Qanon,0.0018284205282117,False
2019-03-10 09:24:45+00:00,"Poor forest management, smart meters and possibly #DEW weapons and High speed rail plans had nothing to do with California fires? War has nothing to do with #migration from Africa? And check out the proper statistics and the IPCC about the weather events you make claims about.",Nc1908Neil,YeyForScience,0,1,_,#DEW #migration,0.0028569400946129,False
2019-02-20 00:02:06+00:00,"Why can't this be retweeted? He just gutted California's high speed rail. He's a fuk. Just vindictive, I wonder how the California fires really started. I have so much more.....",WayneeCal1,jyester55,1,1,_,_,0.0014828129117616,False
2019-01-20 03:07:12+00:00,"Anonymous.January 21, 2019. 100 Billion USD High Speed Rail &amp; The California Fires https://www.youtube.com/attribution_link?a=Faf8tYL0lZY&amp;u=%2Fwatch%3Fv%3Dr4yihL1-s08%26feature%3Dshare",GRRospinus,_,0,0,_,_,0.6913231693056707,True
2019-01-20 01:15:29+00:00,"I liked a @YouTube video http://youtu.be/r4yihL1-s08?a Anonymous.January 21, 2019. 100 Billion USD High Speed Rail &amp; The California Fires",twistersage,_,0,0,@YouTube,_,0.0077240548795219,False
2019-01-19 07:35:31+00:00,I added a video to a @YouTube playlist http://youtu.be/ZTbDJPqmRA0?a 100 Billion USD High Speed Rail &amp; The California Fires. Anonymous,Hank511,_,0,0,@YouTube,_,0.0670633883567449,False
2019-01-18 04:32:43+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,MEopines,_,0,0,@YouTube,_,0.0216032169551468,False
2019-01-17 10:36:21+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,ArtHandpainter,_,0,0,@YouTube,_,0.0216032169551468,False
2019-01-12 20:47:36+00:00,Not to mention the high speed rail also happens to run along the same path as the TRAGIC #California fires. Coincidence?? #MAGA #PatriotUnited #WWG1WGA,DonnaWR8,realTRUMPERLAND,4,5,_,#California #MAGA #PatriotUnited #WWG1WGA,0.0321832202696962,False
2019-01-10 15:55:29+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message 11/20/2018 https://youtu.be/ZTbDJPqmRA0,americandream09,_,2,2,_,_,0.0467737825040808,False
2019-01-03 22:16:55+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,RobinDeVellen1,_,0,0,@YouTube,_,0.0112593465706467,False
2019-01-03 15:11:25+00:00,"Yea I think she needs to be investigated for sure. Just this past summer: the California fires just happened on the route of her husbands proposed high speed rail route. All the gov, contracts handed to her husbands company! Indict her for insider trading!",kenrjake_jake,NEWS_MAKER,2,2,_,_,0.0022344951904619,False
2018-12-29 08:53:38+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message 11/20/2018 https://www.youtube.com/watch?v=ZTbDJPqmRA0,CDBullington,_,0,0,_,_,0.2564674002687074,False
2018-12-27 05:57:32+00:00,100 Billion USD High Speed Rail The California Fires Anonymous Charity Message 11202018: http://youtu.be/JMVNT2CeMgc?a via @YouTube,UrbanAllianceAZ,_,0,0,@YouTube,_,0.5650534221025286,True
2018-12-26 16:39:57+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,AnonymrsCg,_,0,1,@YouTube,_,0.1251457476497104,False
2018-12-21 04:04:21+00:00,"Yes we do. As far as I’m concerned, you’re equally guilty for the California fires that mysteriously started along the path of that high speed rail. You’re a murderer and a traitor!",thatcyberchick,Cali_Tracii,1,4,_,_,0.1104637682719471,False
2018-12-21 00:43:58+00:00,I added a video to a @YouTube playlist http://youtu.be/ZTbDJPqmRA0?a 100 Billion USD High Speed Rail &amp; The California Fires. Anonymous,scottevanshill,_,0,0,@YouTube,_,0.0414251258494766,False
2018-12-19 16:42:55+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,UNITEDWESAVEUSA,_,0,0,@YouTube,_,0.0077240548795219,False
2018-12-18 22:24:51+00:00,I added a video to a @YouTube playlist http://youtu.be/ZTbDJPqmRA0?a 100 Billion USD High Speed Rail &amp; The California Fires. Anonymous,OASISNATURALS1,_,0,0,@YouTube,_,0.5906777151076118,True
2018-12-18 00:55:31+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,uncjay1,_,0,0,@YouTube,_,0.1599091325219053,False
2018-12-17 10:09:54+00:00,I liked a @YouTube video http://youtu.be/ZTbDJPqmRA0?a 100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message,kpalavin,_,0,0,@YouTube,_,0.0038317559975942,False
2018-12-16 00:22:52+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube @RockyShorz,OohCharlie__,_,1,1,@YouTube @RockyShorz,_,0.2868686645806602,False
2018-12-15 21:08:55+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,joseo768,_,0,0,@YouTube,_,0.1251457476497104,False
